레시피ID,품목ID,레시피원료명,소모량,단위
R0015,P0070,컵홀더 (HOT),1.0,EA
R0016,P0071,아이스컵 (24oz),1.0,EA
R0016,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0016,P0073,컵홀더 (24oz),1.0,EA
R0016,P0074,일반 빨대,1.0,EA
R0017,P0068,종이컵 (HOT),1.0,EA
R0017,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0017,P0070,컵홀더 (HOT),1.0,EA
R0018,P0071,아이스컵 (24oz),1.0,EA
R0018,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0018,P0073,컵홀더 (24oz),1.0,EA
R0018,P0074,일반 빨대,1.0,EA
R0019,P0068,종이컵 (HOT),1.0,EA
R0019,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0019,P0070,컵홀더 (HOT),1.0,EA
R0020,P0071,아이스컵 (24oz),1.0,EA
R0020,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0020,P0073,컵홀더 (24oz),1.0,EA
R0020,P0074,일반 빨대,1.0,EA
R0021,P0068,종이컵 (HOT),1.0,EA
R0021,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0021,P0070,컵홀더 (HOT),1.0,EA
R0022,P0071,아이스컵 (24oz),1.0,EA
R0022,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0022,P0073,컵홀더 (24oz),1.0,EA
R0022,P0074,일반 빨대,1.0,EA
R0023,P0068,종이컵 (HOT),1.0,EA
R0023,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0023,P0070,컵홀더 (HOT),1.0,EA
R0024,P0071,아이스컵 (24oz),1.0,EA
R0024,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0024,P0073,컵홀더 (24oz),1.0,EA
R0024,P0074,일반 빨대,1.0,EA
R0025,P0068,종이컵 (HOT),1.0,EA
R0025,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0025,P0070,컵홀더 (HOT),1.0,EA
R0026,P0071,아이스컵 (24oz),1.0,EA
R0026,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0026,P0073,컵홀더 (24oz),1.0,EA
R0026,P0074,일반 빨대,1.0,EA
R0027,P0068,종이컵 (HOT),1.0,EA
R0027,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0027,P0070,컵홀더 (HOT),1.0,EA
R0028,P0071,아이스컵 (24oz),1.0,EA
R0028,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0028,P0073,컵홀더 (24oz),1.0,EA
R0028,P0074,일반 빨대,1.0,EA
R0029,P0071,아이스컵 (24oz),1.0,EA
R0029,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0029,P0073,컵홀더 (24oz),1.0,EA
R0029,P0074,일반 빨대,1.0,EA
R0030,P0071,아이스컵 (24oz),1.0,EA
R0030,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0030,P0073,컵홀더 (24oz),1.0,EA
R0030,P0074,일반 빨대,1.0,EA
R0031,P0071,아이스컵 (24oz),1.0,EA
R0031,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0031,P0073,컵홀더 (24oz),1.0,EA
R0031,P0074,일반 빨대,1.0,EA
R0032,P0071,아이스컵 (24oz),1.0,EA
R0032,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0032,P0073,컵홀더 (24oz),1.0,EA
R0032,P0074,일반 빨대,1.0,EA
R0033,P0068,종이컵 (HOT),1.0,EA
R0033,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0033,P0070,컵홀더 (HOT),1.0,EA
R0034,P0071,아이스컵 (24oz),1.0,EA
R0034,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0034,P0073,컵홀더 (24oz),1.0,EA
R0034,P0074,일반 빨대,1.0,EA
R0035,P0068,종이컵 (HOT),1.0,EA
R0035,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0035,P0070,컵홀더 (HOT),1.0,EA
R0036,P0071,아이스컵 (24oz),1.0,EA
R0036,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0036,P0073,컵홀더 (24oz),1.0,EA
R0036,P0074,일반 빨대,1.0,EA
R0037,P0071,아이스컵 (24oz),1.0,EA
R0037,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0037,P0073,컵홀더 (24oz),1.0,EA
R0037,P0074,일반 빨대,1.0,EA
R0038,P0071,아이스컵 (24oz),1.0,EA
R0038,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0038,P0073,컵홀더 (24oz),1.0,EA
R0038,P0074,일반 빨대,1.0,EA
R0039,P0071,아이스컵 (24oz),1.0,EA
R0039,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0039,P0073,컵홀더 (24oz),1.0,EA
R0039,P0074,일반 빨대,1.0,EA
R0040,P0071,아이스컵 (24oz),1.0,EA
R0040,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0040,P0073,컵홀더 (24oz),1.0,EA
R0040,P0074,일반 빨대,1.0,EA
R0041,P0068,종이컵 (HOT),1.0,EA
R0041,P0069,핫컵 뚜껑 (HOT),1.0,EA
R0041,P0070,컵홀더 (HOT),1.0,EA
R0042,P0071,아이스컵 (24oz),1.0,EA
R0042,P0072,아이스컵 뚜껑 (24oz),1.0,EA
R0042,P0073,컵홀더 (24oz),1.0,EA
R0042,P0074,일반 빨대,1.0,EA
